winner,head_ty_max,head_ty_min,head_rx_max,head_ry_max,chest_ty_min,chest_ty_max,hand_L_ty_min,hand_L_ty_max,hand_L_y_vel_max,hand_R_ty_min,hand_R_ty_max,hand_R_y_vel_max
0.000000000000000000e+00,-9.512905203511796692e-01,6.057721979102913545e-01,2.791209153150821631e+00,2.641432153557539131e+00,-8.859961041233958001e-01,7.385168153562986504e-01,-5.233111981776789046e-01,1.263442611859767917e+00,1.209487084910464638e+00,-1.698958337508667205e+00,1.681833082741476471e+00,-1.273195639026131198e+00
0.000000000000000000e+00,-1.635369889823766965e+00,1.623787734464655408e+00,1.820912320573196297e+00,2.303602203908675872e+00,-1.562598299897729026e+00,1.614402307187357222e+00,-5.878247842381608912e+00,2.399051173668687920e+00,4.019060809787766253e+00,-3.222850371011851678e+00,6.369205364484874288e+00,-6.923503729682284558e+00
0.000000000000000000e+00,-1.521208245504075629e+00,4.273667690706802524e+00,1.228634515110237579e+00,9.433280006910100823e-01,-2.205447098150436158e+00,3.262906777452907914e+00,-2.351810407696217187e+00,7.687215938237781376e-01,-1.407241796201619266e+00,-1.963172674825169661e+00,1.859153673851369426e+00,-1.314312715162788470e+00
1.000000000000000000e+00,-1.350114195098802483e+00,5.598819477495451391e-01,1.414390129711527777e+00,6.095807126465196957e-01,-1.391504654518401107e+00,5.268246778530595309e-01,-2.119149521312626572e-01,2.204062584927357626e+00,9.661835556322113661e-01,-2.383355398084708199e+00,5.456693018493131930e+00,2.004060628112778186e+00
1.000000000000000000e+00,-1.300958791304364759e+00,1.130927635066800496e+00,1.283732364294284611e+00,1.073652039859454899e+00,-1.675205164057021801e+00,1.335304533674405825e+00,-1.814645530619520830e-01,2.799078596415708997e+00,1.135954327127647989e+00,-2.824903127593338503e+00,3.254970879600115996e+00,-2.238294830836487836e+00
1.000000000000000000e+00,-2.002432524680056503e+00,1.510041655152888351e+00,3.441956366232381992e+00,1.263751665447214068e+00,-1.649510769540065258e+00,1.650296904252059660e+00,-3.890350820929473930e+00,1.325137977339247541e+01,4.449584733646593016e+00,-8.432187912261631668e-01,5.359507202170123996e+00,2.900981255943110959e+00
0.000000000000000000e+00,-3.066694509973384442e+00,1.593570221745605808e+00,2.239728375877798605e+00,2.576920358952998313e+00,-3.266976276350413322e+00,1.556505620329589723e+00,-7.877647323436762328e+00,1.837136428693227908e+00,-3.156330237518965021e+00,-2.787587972880276155e+00,2.052590827494280123e+00,-1.356108248657864834e+00
1.000000000000000000e+00,-1.661431752463570444e+00,9.148931973760366931e-01,1.543264288299071474e+00,3.022830955310093159e+00,-1.297038977039051133e+00,1.035317419737234124e+00,-2.112467736760677184e+01,1.044738439565731802e+01,-1.542074134790656181e+01,-1.219967442464631402e+00,3.895588238934760028e+00,2.199213126775088512e+00
1.000000000000000000e+00,-1.626821123946470049e+00,5.701523400882393400e-01,1.667042513467579257e+00,1.007857620168277846e+00,-2.001257588967441325e+00,6.439668386823423907e-01,-2.071433907328165402e-01,1.522443886608271457e+00,4.440087712892198946e-01,-1.019604903332950396e+00,6.009224999571662895e-01,5.044650486903454745e-01
0.000000000000000000e+00,-1.599987497720519514e+00,3.485968244350497458e-01,1.101415556186434497e+00,9.427846387469709377e-01,-1.621877493547092985e+00,4.329659545748985594e-01,-3.819238420377752963e+00,5.820774747744158484e-01,-2.869437227059738138e+00,-2.471631661172625005e+00,5.660267497863917807e-01,-1.464008570811004439e+00
0.000000000000000000e+00,-1.917063598766528765e+00,3.025013574754625623e+00,1.311141845655313221e+00,2.675156047008415694e+00,-2.181641005592731997e+00,2.799278066939876908e+00,-1.078647874581024091e+01,5.005660656452666224e+00,-3.593100988136146423e+00,-4.376407095475966180e+00,6.673858320579614478e+00,3.639885324672915257e+00
0.000000000000000000e+00,-5.084763211933275295e-01,2.653023526232958673e+00,1.413178867556545759e+00,1.326582465509627440e+00,-3.876698451091247777e-01,2.798704832416524457e+00,-2.055420376482594680e+00,1.323559675275938874e+00,-2.588998502550099445e+00,-4.566157537435389990e+00,2.163320188821205914e+00,-2.280730418443281060e+00
1.000000000000000000e+00,-1.510522288157457371e+00,1.095070311525933038e+00,1.505560349417871535e+00,8.855528974248627616e-01,-1.308992602834673225e+00,1.125854754747777076e+00,-4.657527981200950129e-01,2.893633885577186593e+00,1.050596395444334696e+00,-2.347089932114861277e+00,4.170094646367661362e+00,-4.491758944120652686e+00
0.000000000000000000e+00,-3.338652124444773328e+00,9.140620673601885793e-01,1.992488339805008168e+00,4.107796419046567671e+00,-3.192101731698305578e+00,9.931003830768229124e-01,-5.598431495445681527e+00,2.537449505244872672e+00,-2.338572207706050232e+00,-1.720195332935414934e+00,2.248421783515009764e+00,-1.277394393998990463e+00
0.000000000000000000e+00,2.861433403870418113e-01,8.798670038510122415e-01,9.597868879665200081e-01,1.106752828514616427e+00,2.551452334657400844e-01,8.143860905048022625e-01,-2.396806001173351408e+00,1.087010095223505557e+00,-1.746068757533788540e+00,-1.418153797616476863e+00,7.571981118738263516e-01,-1.602273060023966744e+00
0.000000000000000000e+00,-2.284779264349547034e+00,-3.309706963800790880e-01,1.214377936874433184e+00,4.025963366505331820e+00,-2.573800858915867629e+00,-2.328122246115723881e-01,-1.151151863923940200e+00,4.075581929017814131e-01,-1.114148061026536851e+00,-1.388020050036872011e+00,1.177995287080612963e+00,-6.520743279343664822e-01
1.000000000000000000e+00,-2.433135972178414708e+00,5.944595221139453045e+00,2.790833298373292859e+00,1.161159968986442914e+00,-2.486568052334015455e+00,5.936995249336951552e+00,-1.376590851734581289e+00,1.550589183552728789e+00,1.595845252057106478e+00,-1.757484885484008386e+00,2.012702655252117889e+00,-1.661631678344539509e+00
0.000000000000000000e+00,-1.190181033477767381e+00,8.640161671202016835e-01,1.013953036710914635e+00,1.162075776955369122e+00,-1.064406919594828027e+00,7.794862239364893641e-01,-2.047652182321839653e+00,3.565202338631912493e+00,1.271332974920275305e+00,-1.863081012834969297e+00,6.141588189874601644e-01,-1.425016474325245586e+00
1.000000000000000000e+00,-4.518407472562513405e-01,1.044668212707728472e+00,1.656740457069910022e+00,1.309784868341850705e+00,-2.947552728105957143e-01,1.137791520704471759e+00,-7.823062505120239152e+00,2.408340735231845997e+00,4.383958476152024275e+00,-1.542695526674241258e+00,2.972130967632667709e+00,1.472444484003425647e+00
0.000000000000000000e+00,-9.422668230362629682e-01,6.095716494113091466e-01,9.440622824928976975e-01,6.075233470732757102e-01,-8.485672617168055210e-01,7.138002914968105683e-01,-4.833637783539732613e-01,2.111651040741993501e+00,7.790323141153813191e-01,-7.292123528472498339e-01,4.901868512292945290e+00,2.297448631841310984e+00
0.000000000000000000e+00,-1.101250121782042291e+00,7.500919885193204628e-01,1.190736480178956613e+00,4.102422688994792566e+00,-8.248791880315496927e-01,4.792967919322566606e-01,-1.287291195417769041e+00,2.495381391466302112e+00,-1.677030948894435491e+00,-3.375951314534398229e+00,4.054590481367331911e+00,3.096735405470434355e+00
0.000000000000000000e+00,-1.356228937358255893e+00,1.205788702922824029e+00,1.549606617828216182e+00,4.161483997550916136e+00,-1.791740370685121597e+00,1.126916924599851599e+00,-4.823525314133787489e+00,2.435679246432604916e+00,-3.725206390911482313e+00,-2.000321415469185293e+00,2.244607061009180171e+00,-1.049496726981272721e+00
0.000000000000000000e+00,-3.931247825744384361e+00,1.030954567446234149e+00,3.008567318427750159e+00,1.350361611478003043e+00,-3.639123500873269634e+00,9.125272128691166440e-01,-8.151447353826823061e+00,1.460183078215987029e+00,-5.021273111631431973e+00,-4.491437620433625710e+00,6.428243955749588956e+00,-2.729485157249836202e+00
