winner,head_ty_max,head_ty_min,head_rx_max,head_ry_max,upperArm_dist_min,upperArm_dist_max,spine_ty_min,hand_L_ty_min,hand_L_ty_max,hand_L_y_vel,hand_R_ty_min,hand_R_ty_max,hand_R_y_vel
0.000000000000000000e+00,-9.596611869393675276e-01,6.057721979102913545e-01,3.318758501952260520e+00,2.641432153557539131e+00,-2.763719583567906035e+00,2.281637029748669221e+00,-7.272808962406834832e-01,-5.233111981776789046e-01,1.263442611859767917e+00,1.488961508364539110e-02,-1.698958337508667205e+00,1.681833082741476471e+00,2.817326183541786142e-02
1.000000000000000000e+00,-9.042723080260688384e-01,5.539453047792004536e-01,1.516933340818102272e+00,8.242032656997875240e-01,-2.337026607539880896e+00,1.145841824470913428e-01,-1.168669878147667207e+00,-7.886054017270316407e-01,8.203097793779923208e-01,1.340762650920853359e-02,-8.686161383790673707e-01,2.015685307412716121e+00,2.403584538159819761e-02
1.000000000000000000e+00,-1.757783467872233052e+00,3.204834490326309737e+00,1.679421376990507753e+00,4.441658937343496150e-01,-3.214441368212672678e+00,-1.078597304942870760e+00,-1.627786887505852986e+00,-1.033891318832658834e+00,1.911176308943512092e+00,2.454223023146808944e-02,-1.820696629557113866e+00,5.053074895644812159e+00,5.728142937668271456e-02
1.000000000000000000e+00,-7.863112122053598219e-01,-2.653964486090614611e-02,1.662724732091717117e+00,3.950056605013673172e-01,-7.869063309985704358e-01,2.077547864689546664e+00,-8.883447494038084757e-01,-1.052117747718088470e-01,3.595890176835867535e-01,3.873339937128296787e-03,-4.166739300961639914e-01,5.456693018493131930e+00,4.894472457157746786e-02
1.000000000000000000e+00,-1.361393816742453522e+00,-1.310839275686372096e-01,1.643239700830040340e+00,3.930430481989384828e-01,2.721573698539218045e-01,1.284078444329423085e+00,-9.884886536892125708e-01,-9.077330795394440432e-01,3.865587125443690764e-01,1.078576493403177530e-02,-4.436586114461247288e-01,5.377491591307641539e-01,8.178398088140741151e-03
0.000000000000000000e+00,-8.921615563665643567e-01,-6.770623769664755459e-03,3.575343077499207656e+00,7.940079312992253113e-01,8.822442959116061356e-01,1.812792630545801753e+00,-4.811891998163549400e-01,-7.093559906745793286e-01,6.180140169008770945e-01,1.106141672979546985e-02,-3.985731998168261514e-01,1.230620536145929700e+00,1.357661446635629980e-02
1.000000000000000000e+00,-3.066694509973384442e+00,-7.966409709737551914e-01,2.239728375877798605e+00,8.305517348444032555e-01,-1.957068005591796167e+00,4.560525810825497017e-01,-3.421318642779360264e+00,-6.736199788171956526e-02,4.305861631290648361e-01,4.149568008423203287e-03,-6.641444518501673500e-01,2.052590827494280123e+00,2.263946066120372733e-02
1.000000000000000000e+00,-1.891442958185891587e-01,5.323359243671592633e-01,9.178759832733124346e-01,3.142309373302279329e+00,-1.498977707313076335e+00,2.641358964072846871e-01,-5.637231128223931659e-02,-1.181901926269481429e+00,1.905206094440142328e+00,2.572590017258019959e-02,-3.065462196342516599e-01,7.482757575565006647e-01,8.790183143256269718e-03
1.000000000000000000e+00,-4.705411726128292949e-01,5.968672334547823199e-01,9.069636370625189237e-01,3.022830955310093159e+00,-3.156263440737276049e+00,2.149946158464982826e+00,-1.149941523128700904e+00,-3.074383841851784371e-01,1.215796150939052689e+00,1.269362112603525904e-02,-6.334346555700175463e-01,2.168363815221530100e+00,2.334832058992956580e-02
1.000000000000000000e+00,-2.741307108768899159e+00,4.681608138577486034e-01,1.315105476296629661e+00,1.056086096861998724e+00,-2.693682235540509229e+00,1.160214685674975099e+00,-4.071164775060685415e+00,-2.071433907328165402e-01,1.522443886608271457e+00,1.441322731117573343e-02,-1.019604903332950396e+00,5.902977148428462328e+00,5.768818376467844261e-02
0.000000000000000000e+00,-1.053460145870779296e+00,-2.140188298643270481e-01,2.060795046190963209e+00,1.332006683324551410e+00,8.987093327927220265e-02,9.345263881351453250e-01,-8.007605134694023574e-01,-1.149399986309051380e+00,1.777618691829518704e+00,2.439182231782141899e-02,-8.256941096473698893e-01,1.117419434546067653e-01,7.811967109183138615e-03
1.000000000000000000e+00,-2.601465457438885132e-01,3.485968244350497458e-01,9.989859718269952227e-01,9.427846387469709377e-01,-3.512393640027071662e-01,7.936252484033661236e-01,-1.916944017011945889e-01,-8.326328523117273450e-01,1.604742961387689015e-01,8.275892903754135735e-03,-6.096886480253416174e-01,2.503136586411929820e-01,7.166685888887787924e-03
0.000000000000000000e+00,-6.780420886500935218e+00,7.058383413390333094e-02,1.273151838770797628e+00,8.033584842716483543e-01,-1.560698903739596854e+00,9.720988361652201926e-01,-4.456513183670562483e+00,-1.706796731119799571e+00,4.857472569768013781e-01,1.827119990080500883e-02,-1.126557945400749938e+00,2.998027556992711062e+00,3.437154585327883982e-02
1.000000000000000000e+00,-1.138676629546414298e-01,2.870601491096021807e+00,1.463404808296375315e+00,3.289554079846647383e+00,1.436222193958309745e-01,4.785874850135233949e+00,3.809931308521334881e-01,-8.220293825374027641e-01,1.183801333446090620e+00,1.671525596652911200e-02,-5.017243204610304375e-01,2.021559872756560627e-01,5.865669231139054515e-03
1.000000000000000000e+00,7.996373002704819377e-02,1.095070311525933038e+00,1.478232638617385408e+00,8.855528974248627616e-01,-9.446030298311094420e-01,2.490103983853606540e+00,1.028798375081322602e-01,-2.963738939858832078e-01,2.893633885577186593e+00,2.658339816302558029e-02,-1.161492098818227348e+00,1.136365036252871275e-01,1.062607168702928671e-02
0.000000000000000000e+00,-2.146396116710867830e+00,9.140620673601885793e-01,1.992488339805008168e+00,4.023390017774183036e+00,-3.092027232097860345e+00,1.231130116342304515e+00,-2.235408081676157455e+00,-5.598431495445681527e+00,2.537449505244872672e+00,6.779900833908795998e-02,-1.720195332935414934e+00,2.248421783515009764e+00,3.307180930375353684e-02
0.000000000000000000e+00,2.861433403870418113e-01,8.089241203554193849e-01,9.597868879665200081e-01,1.106752828514616427e+00,-4.528730452816228658e-01,2.473930950258091954e+00,-2.229490808189049378e-01,-2.396806001173351408e+00,1.087010095223505557e+00,2.903180080330713952e-02,-1.418153797616476863e+00,7.571981118738263516e-01,1.812793257908585851e-02
1.000000000000000000e+00,-7.154870615691745206e-01,-1.060906606634969551e-01,1.214377936874433184e+00,4.025963366505331820e+00,-1.002062377391421455e+00,5.493261897474823741e-01,-4.923484095724683929e-01,-1.151151863923940200e+00,4.075581929017814131e-01,1.298925047354767930e-02,-4.152605774773232561e+00,1.607956905765465794e-01,3.594501221124815626e-02
1.000000000000000000e+00,-5.132850019992970525e-01,1.777724886685634109e+00,1.627576671799661368e+00,1.171415837863188480e+00,-2.022800674836661372e+00,6.832158407698152303e-01,-5.565249804208457496e-01,-1.394247934010956591e+00,1.458615608771086869e+00,2.377386285651702721e-02,-3.012899821286660451e+00,2.636064155734889614e+00,4.707469980851291397e-02
0.000000000000000000e+00,3.953519139901081475e-02,6.362865427778521266e-01,6.674307410703347321e-01,6.961653285950119008e-01,-2.546512729016575105e-01,1.509288939984636979e+00,1.503398232238606358e-01,-3.256947930140157155e-01,9.632330400410485383e-02,3.516817475151004686e-03,-8.923749470059775257e-01,3.916376065081595415e-01,1.070010461261780912e-02
