winner,head_ty_max,head_ty_min,head_rx_max,head_ry_max,upperArm_dist_min,upperArm_dist_max,spine_ty_min,hand_L_ty_min,hand_L_ty_max,hand_L_y_vel,hand_R_ty_min,hand_R_ty_max,hand_R_y_vel
0.000000000000000000e+00,-1.293643306647711100e+00,1.828477995518444033e+00,1.722950669329257334e+00,1.484767966778557824e+00,-4.747566685850218016e-01,1.643876076889328353e+00,-1.419584038316379804e+00,-9.408546021429398110e+00,4.972124748121959370e-01,8.254798746867994530e-02,-3.289583937413952164e+00,1.306346674946799458e-01,2.850182170757193517e-02
1.000000000000000000e+00,-2.238611932793586057e+00,1.212837676425471356e+00,2.820854727469449319e+00,1.593974271539599918e+00,-1.995932235813376199e+00,2.274738301430916820e+00,-2.544027819473183349e+00,-4.974272757334987083e-01,7.834030212567241191e-01,1.067358580825185713e-02,-4.730437977146232931e-01,6.205692874620104549e-01,9.113442376471946743e-03
0.000000000000000000e+00,-1.221787330810466754e+00,1.776497076827677768e+00,1.990035794787356593e+00,9.690164695008808282e-01,-9.808666272644341877e-01,1.836854888403927522e+00,-9.840591474985543874e-01,-6.038677131678678478e+00,3.731182582555871541e+00,8.141549761862124091e-02,-1.714807025801344809e+00,1.913851394074221668e+00,3.023882016562972133e-02
0.000000000000000000e+00,-2.172801865948442934e+00,1.555439185978286787e+00,1.374393345599365990e+00,1.778380106391759030e+00,-3.062551225810222100e+00,2.275178818957903193e+00,-2.488277596668310387e+00,-8.733478860612271077e+00,2.118757322277541100e+00,9.043530152408175982e-02,-2.480538766928684635e-01,7.720656787737352200e-01,8.500996295555030349e-03
0.000000000000000000e+00,-1.360495771594933068e+00,2.904510809700141749e+00,1.873710260031364427e+00,9.587248347468991794e-01,-4.522059072169414273e-01,3.172645498900299899e+00,-1.375209087935845176e+00,-5.919855418185008267e-01,3.660549105469408926e-01,7.983670436378681456e-03,-5.229229191885985673e-01,4.963189367732459445e+00,4.571760239100881862e-02
1.000000000000000000e+00,-4.797388685376715589e-01,7.757254056167119938e-01,1.879012019651714827e+00,2.450169547198199460e+00,-1.230638561913747875e+00,3.155972390831758734e+00,-8.746464882625967219e-01,-6.651115685196932192e-01,2.766248012555682756e+00,2.859466317562813290e-02,-1.618051826290760387e+00,2.681858302870473665e+00,3.583258440967695274e-02
0.000000000000000000e+00,-3.831801890694021967e-02,1.814509860950473730e+00,2.427141745462424893e+00,4.325600324654252482e+00,-2.624691385252948095e+00,1.996494572950110236e+00,-2.816012788570067538e-01,-4.028231479954293981e+00,1.027648304618266062e+00,4.213233153810466702e-02,-6.982053212185131974e-01,1.423811905923364263e+00,1.768347689284897883e-02
1.000000000000000000e+00,-5.614628797413365735e-01,1.509017723831981295e+00,1.869310381405180133e+00,1.092933486656930242e+00,-5.730544304187779048e-02,1.981313644068969815e+00,7.549876381181215568e-02,-1.005680979676190079e+00,2.716828074563444773e+00,3.102090878533029020e-02,-4.654742215582133302e-01,7.319678987814682847e-01,9.978684336164013111e-03
1.000000000000000000e+00,-2.143267253055960442e+00,5.164462510241032422e-01,1.484697757090219561e+00,2.428400271450827042e+00,-1.628552277598606768e+00,3.689728180832901883e-01,-2.010933712121468986e+00,-1.152223311715827592e+00,6.491563093622091607e+00,6.369822004448265351e-02,-1.212764897372250017e+00,5.144401588867268948e+00,5.297638738532932379e-02
0.000000000000000000e+00,-3.734142621247309446e-01,7.315277260881956067e-01,2.124218660759406241e+00,1.449115280393880711e+00,-3.447624398206311280e+00,7.638351239739764598e-01,-1.197315862350671264e-02,-1.517127748628659401e+00,8.988855391103441894e-01,2.013344406449169705e-02,-5.201772794744348172e-01,8.069677169457963872e-01,1.105954163683526073e-02
0.000000000000000000e+00,-2.777221163530708137e-01,1.201023831268480668e+00,2.017776764266335121e+00,4.072666060389092735e+00,-2.476746407408521478e+00,7.698639859839415678e-01,-2.096169353397863977e-01,-2.473257199965521735e+00,3.492984770803756245e+00,4.971868308974398964e-02,-4.267587948942579978e-01,5.848759711778812598e-01,8.430289717267827262e-03
0.000000000000000000e+00,-1.340829194068876795e+00,1.675106488097944268e+00,1.806404012891351663e+00,4.392264123202751058e+00,-2.323547335183252294e+00,2.132604984764196132e+00,-6.531766403839109891e-01,-3.778640231690018503e+00,2.209493586305385726e+00,4.990111514996169867e-02,-4.857287013374095963e+00,9.965503258203139980e-01,4.878197782662008208e-02
0.000000000000000000e+00,-1.160841788441740130e+00,4.903830369504277975e+00,2.720990063035323647e+00,4.455761086736027998e+00,-6.714340511857177951e+00,1.929735273901327597e+00,-1.836812328549586981e+00,-7.120884271128876897e+00,3.530188816144951947e+00,8.875894239394857554e-02,-5.413202787722424247e+00,3.531509859278178620e+00,7.453927205833836556e-02
0.000000000000000000e+00,-8.130282883784923920e-01,8.828144373045250237e-01,1.126259700462686197e+00,1.362986732447292404e+00,-3.702123794890000763e+00,4.302049332304302975e-01,-8.229326524470136350e-01,-1.753704837989447540e+00,7.848544144429867586e-01,2.115466043693695411e-02,-1.506027337825135148e-01,3.046872517359586752e-01,3.794083212653935003e-03
0.000000000000000000e+00,-5.181686119012928193e-01,7.493874802373066135e-01,1.335928465432162149e+00,1.116359921807311251e+00,-1.604905650391865057e+00,1.712329927511555994e+00,-4.599994611824074764e-01,-1.243523299228835199e+01,8.668823193532559923e-01,1.108509609303467286e-01,-7.579325184728052944e-01,7.252277346220453724e-01,1.235966877579042222e-02
1.000000000000000000e+00,-1.334018859801902712e+00,1.682542261226172009e+00,1.852081632654672516e+00,2.824377621879315292e+00,-8.676539928632719390e-01,3.064818982126732205e+00,-9.880828812370809899e-01,-3.627453441454341121e+00,1.962684174981447205e+00,4.658448013696490225e-02,-7.913664020754872519e-01,1.513502803252714468e+00,1.920724337773501225e-02
