winner,head_ty_max,head_ty_min,head_rx_max,head_ry_max,chest_ty_min,chest_ty_max,hand_L_ty_min,hand_L_ty_max,hand_L_y_vel_max,hand_R_ty_min,hand_R_ty_max,hand_R_y_vel_max
1.000000000000000000e+00,-5.390336441588350347e-01,1.751182049974970567e-01,1.286953714011111138e+00,2.503413956709372723e+00,-6.546885847961693150e-01,2.271532276745636125e-01,-4.480726461644160885e+00,1.121384957964816076e+00,-2.995446994905355265e+00,-2.627467144288172740e+00,1.219725471010413065e+00,-1.419398420171652075e+00
1.000000000000000000e+00,-8.881710375081319775e-01,2.542665462047387082e-01,8.320526452824003050e-01,1.792935714971463979e+00,-8.961601706181948623e-01,3.043143862657561871e-01,-4.915462815423218279e-01,8.598810357014662342e-01,-5.766156915757927326e-01,-4.683076158603925454e-01,5.400377900948829524e-01,-3.854991415466195170e-01
1.000000000000000000e+00,-7.169594311541525045e-01,7.441647619405581393e-01,6.454745202021362482e-01,2.192053526328864077e+00,-6.969394936878864355e-01,8.102542787563009608e-01,-4.323821823211681625e+00,2.140368216046742322e+00,-3.176664825690875382e+00,-4.123208178802390655e+00,3.361809908436128147e+00,3.160831041882248726e+00
0.000000000000000000e+00,-1.075417687040823189e+00,9.310164596708224716e-01,8.535680500425546491e-01,7.200208103329774900e-01,-1.131554653338445071e+00,9.113628337287221770e-01,-1.873343174483006468e-01,2.786037922083610119e-01,-1.780530026455804937e-01,-4.780708070282398969e-01,3.906265464101476015e-01,-4.230912052178323335e-01
0.000000000000000000e+00,-9.716638485421150717e-01,6.101971105558533504e-01,2.275747584446972116e+00,1.839058365476176737e+00,-9.988090606342345801e-01,6.025978606886824851e-01,-1.375950078756544404e+00,1.328160410688842274e-01,3.447034836894995458e-01,-7.162658080570454278e-01,1.074939780492903729e+00,-3.904688828805539247e-01
0.000000000000000000e+00,-1.054801202953909556e+00,4.110733925865226013e+00,2.423078242765514201e+00,3.610882045334967483e+00,-1.077751231619606065e+00,4.104188566326099519e+00,-1.441303208577689121e+00,4.426492883573114323e-01,-8.921730504097432624e-01,-2.874837698151420984e+00,2.164673340557526915e-01,-1.410290026003884201e+00
1.000000000000000000e+00,-5.166398769609809039e-01,3.512855887344678685e+00,2.856966739039693337e+00,1.712506981672648809e+00,-8.678685480592586154e-01,2.194485992796744611e+00,-2.126002922549990792e+00,5.085394106787348711e-01,1.389839419072230298e+00,-5.425095477026993240e-01,5.497841915960616221e-01,2.807652008672870680e-01
0.000000000000000000e+00,-1.331504435737302705e+00,4.337199289379351619e+00,2.446550704269284005e+00,2.108262801970902434e+00,-1.447142829267009434e+00,2.622699134922272801e+00,-1.018632983996670127e+00,2.941537239717487706e-01,-4.000708380799309349e-01,-5.832328842076240916e-01,3.161811644011446876e-01,-2.982180593693977144e-01
0.000000000000000000e+00,-1.010922057703790511e+00,2.332502930598400859e+00,1.787034801090431113e+00,1.153896466109604502e+00,-1.238078448698582523e+00,1.710219095724588190e+00,-2.335144363349999974e+00,7.726940193264389967e-01,-1.395163642585631081e+00,-8.390738249052301923e-01,2.151577400555942932e-01,-2.197347625265730908e-01
1.000000000000000000e+00,-1.013607729960320114e+00,1.880243621634283047e+00,1.850001922513295094e+00,1.393064756960709083e+00,-7.036062562985411217e-01,1.362656933773451762e+00,-2.011292184192596366e+00,7.763501384772723002e-01,-1.427440319464081009e+00,-1.265674070456820344e+00,2.396672709652744704e+00,1.544279960853420786e+00
0.000000000000000000e+00,-2.447945513474950319e-01,3.371028695091589533e+00,9.478725182025043994e-01,3.509595825313077011e+00,-1.473527636723481749e-01,3.481267447593355602e+00,-3.351100833760430886e-01,2.339534370788096396e-01,1.592125636464427618e-01,-1.047744197097131957e+00,2.025990693874088755e-01,-3.332496988736342036e-01
1.000000000000000000e+00,-6.047536240834076038e-01,4.911981324832906948e-01,2.326434388850517010e+00,2.303580518966174218e+00,-5.387543050289356206e-01,4.783722461944766580e-01,-4.241330634871006033e+00,1.570906043697030974e+01,-2.377848492723190432e+00,-3.484227044725116240e+00,1.065126220325050221e+00,-1.699265373872163920e+00
1.000000000000000000e+00,-3.903737857236797559e-01,7.880834023709222258e-01,1.231336710356273567e+00,5.051200166815910109e-01,-3.735413377334833585e-01,8.604956756867779832e-01,-5.599578899405566190e+00,2.409881324324886442e+00,-3.747739211678686733e+00,-2.048416725384813120e+00,3.948600363673757219e+00,3.408453440745527363e+00
1.000000000000000000e+00,-3.876486182869050001e-01,7.861876337192569286e-01,1.711485412680139095e+00,1.724306489853359547e+00,-3.078364210291946734e-01,8.172940912603303687e-01,-6.080861284123383115e+00,1.405990983112493709e+00,-3.043159349823729265e+00,-4.544729550186699107e+00,9.955918158166411347e-01,-2.535818910473330412e+00
1.000000000000000000e+00,-2.152126613453856918e-01,7.991815480192433485e-01,8.586478639894137288e-01,9.431133375084825854e-01,-1.742725253330594248e-01,9.600759294831084922e-01,-2.361285615278457595e+00,2.707249490383440982e+00,2.058772119206563112e+00,-3.578971133736574384e+00,1.175081747338347471e+00,-1.920041095732196501e+00
0.000000000000000000e+00,-4.456275428838253894e-01,2.845031884613538065e+00,9.354615841729028158e-01,1.726693614297132084e+00,-4.116044607253627197e-01,2.961837589603639742e+00,-9.909264560567616620e-01,8.670447441626301099e-01,4.531531180010916482e-01,-1.282077329859298842e-01,2.766163148963600160e-01,-2.729664006996772585e-01
1.000000000000000000e+00,-2.261528262727368344e-01,1.092235785423292249e+00,2.057076054316000047e+00,1.103570274997366374e+00,-2.643219560470155827e-01,1.377711302051296771e+00,-3.316812355348734087e+00,3.280403294138289017e+00,-3.588732304734477907e+00,-2.427527398763993371e+00,1.132624013773262206e+01,5.230392514132525150e+00
1.000000000000000000e+00,-7.192106564280100756e-01,1.039233253537007684e+00,1.971480763040514894e+00,1.851602228554751095e+00,-5.426171765055055607e-01,1.496317100409805256e+00,-4.095222973305831182e+00,1.815373499654703071e+00,-3.156201983818555767e+00,-9.748854385883211071e-01,6.951323359469724350e-01,-8.634925567710913796e-01
1.000000000000000000e+00,-6.593359631794173392e-01,2.270969439779599863e+00,1.209926123478678228e+00,1.739941287016005589e+00,-6.960128858882072000e-01,2.375764173242424171e+00,-3.021717838387103949e+00,4.039630711925856765e+00,4.837194166392923655e+00,-2.853926168315559231e+00,1.103742453663053569e+00,-1.346271026996141540e+00
1.000000000000000000e+00,-1.991381229864321867e-01,6.155289598886743985e-01,5.169315190266415838e-01,2.348144433905595463e+00,-1.744409994784572038e-01,7.053791232475322692e-01,-5.373163231618157676e-01,1.075911976026327155e+00,8.523099262933141462e-01,-2.066994246620887932e-01,7.370477387853746620e-01,4.797647250580192591e-01
0.000000000000000000e+00,-1.773889949640632180e+00,1.473135981063316002e-01,3.728882728273720026e+00,1.318731330511656585e+00,-1.353567475367274620e+00,2.210761245727926039e-01,-1.200388743282757298e-01,5.093163359982869620e-01,1.953053148885749435e-01,-1.239960695953710612e+00,2.698760787189276922e+00,-1.163700191640729464e+00
