winner,head_ty_max,head_ty_min,head_rx_max,head_ry_max,upperArm_dist_min,upperArm_dist_max,spine_ty_min,hand_L_ty_min,hand_L_ty_max,hand_L_y_vel,hand_R_ty_min,hand_R_ty_max,hand_R_y_vel
0.000000000000000000e+00,-1.896220842102104731e+00,4.492641799061733110e+00,6.741433034348358611e+00,4.631244987783659006e+00,-5.353478411454414498e+00,1.283657494013533906e+00,-1.688764998181792043e+00,-2.504211901440537513e+00,2.416804491548168787e+00,4.100846994157255482e-02,-2.600185117104041765e+00,1.320894912363356211e+00,3.267566691222831970e-02
1.000000000000000000e+00,-1.192929086100251945e+00,2.510511631272554500e-01,1.093577286673378612e+00,2.373867423441192503e+00,-2.239065213799978249e+00,1.102519584159087351e+00,-1.340519593151740629e+00,-4.096887645597953487e+00,5.943056784529868963e+00,8.366620358439851024e-02,-1.662339733699932154e+00,8.122096768956433843e-01,2.062124508829646027e-02
0.000000000000000000e+00,-8.288936386532309575e-01,3.339523312819542289e-01,2.900562289960910256e+00,2.428751746769941100e+00,-1.468667181630474383e+00,1.372818408925811084e+00,-1.461833951567898415e+00,-2.090233681049603831e+00,5.184507994155228561e-01,2.173903733720938813e-02,-1.424378085742940558e-01,1.096687589463245738e+00,1.032604498364616576e-02
1.000000000000000000e+00,-1.055199639251565014e+00,3.521439690371671039e-01,2.906632193616754734e+00,2.456810434702823009e+00,-4.693079986662423764e+00,1.825204303936369232e+00,-1.565567810619497013e+00,-8.794934011278257913e+00,9.660499707254363022e-01,8.134153318336410921e-02,-2.764878537515968127e+00,1.972922226388318823e+00,3.948167303253572596e-02
0.000000000000000000e+00,-8.610203749674535390e-01,5.756122768380291799e-01,1.811184719939663568e+00,1.888286208424963197e+00,-9.881507472382986990e+00,1.841945183242672091e+00,-1.331662497464279005e+00,-3.561298078632809005e+00,8.966912648307512335e-01,3.714991119552966958e-02,-5.272913634974149666e+00,1.027747005729230612e+00,5.250550533919483981e-02
1.000000000000000000e+00,-6.038037921109596917e-01,2.180732938493374906e+00,1.538969812054948871e+00,2.551420073165491686e+00,-6.674662579943373419e-01,4.968960193359698962e+00,-6.290664189303079024e-01,-6.094940901771681574e+00,4.515987584774279640e+00,8.842440405454968233e-02,-3.615951046550815118e+00,6.834634558573250418e-01,3.582845418673450549e-02
1.000000000000000000e+00,-7.806528610962187864e-01,1.070738996911093865e+00,1.225756148221359920e+00,1.130702195876773120e+00,-1.318559475633213296e+00,1.363295161215408724e+00,-7.428383197610254340e-01,-7.776541486618380183e+00,3.450826401390360565e-01,6.768020105631179784e-02,-2.632248596738071100e+00,1.574594801830451640e+00,3.505702832140435848e-02
0.000000000000000000e+00,-7.532387217492179099e-01,5.016295717611015670e-01,1.786960303562133756e+00,1.173169548761263004e+00,-1.103039581764002630e+00,2.063197054304812816e+00,-1.048591947492959697e+00,-2.206380115975147271e-01,3.760528184104049987e-01,4.972423583399330702e-03,-2.184620783121878351e-01,5.333020759733043681e-01,6.264701285712435605e-03
0.000000000000000000e+00,-2.331603994171263849e+00,1.811174124708412103e+00,1.725370481518911037e+00,2.298219684873322954e+00,-6.151749360347835704e+00,2.029312164344576619e+00,-2.847128281091424018e+00,-1.531855097437730961e+00,2.040852462951022073e+00,2.977256300323960839e-02,-6.521730098934628295e+00,1.917261898634991801e-01,5.594546907331773150e-02
0.000000000000000000e+00,-1.907419594034976962e+00,3.881169674292350269e+00,1.498915136448909058e+00,2.342271532996954786e+00,-4.041425480198576281e+00,3.900834282328146330e+00,-2.123854504952494171e+00,-5.816961305703148843e-01,6.474614250348643685e-01,1.024297963004316102e-02,-2.315807488379479917e+00,1.478194678529277661e+00,3.161668472423964649e-02
1.000000000000000000e+00,-3.976656796089408363e-01,4.449263888973455927e-01,1.384879367295883901e+00,1.614429466864593765e+00,-1.972506223499478573e+00,1.374085034190583920e+00,-4.716997817158541939e-01,-4.531813329282243230e-01,3.233424903672622586e-01,6.471031860795720646e-03,-2.352629892201443251e+00,3.854839708178068758e+00,5.172891333649593665e-02
0.000000000000000000e+00,-4.047109872724999335e-02,6.772118136046354486e-01,8.450212719891063706e-01,2.358229855316125612e+00,-1.705988117064192400e+00,1.818308684951227328e+00,-8.202571347701145266e-01,-3.335353083460901313e+00,1.123668790242268578e+01,1.214336748823632295e-01,-5.521821526785088141e-02,1.853353740479021516e-01,2.004613244297942260e-03
0.000000000000000000e+00,-1.536897991622305559e+00,3.395062763468390976e+00,3.157829676542615260e+00,1.104920255336455215e+00,-4.848458332298744899e+00,1.126220304641654124e+00,-2.872039559024973876e+00,-1.241613736190352135e+01,5.212397049130097493e+00,1.469044534252801626e-01,-2.926174218843221597e-01,4.220690606151029645e-01,5.955720687495209484e-03
1.000000000000000000e+00,-5.377260883984095186e-01,6.366733450693318197e-01,1.724736870389575127e+00,2.605230402893575548e+00,-2.682335153093997171e+00,1.353299825259881795e+00,-5.705873053912882131e-01,-4.758741714000743528e+00,2.439173961444915051e+00,5.998263062871381918e-02,-2.392132609646496100e+00,1.571294551723110278e+00,3.302855967808005638e-02
0.000000000000000000e+00,-6.547809162941002903e-01,1.020623315184322921e+00,1.593991042841877981e+00,5.766805568701779405e-01,-1.384582958025355026e+00,3.059062185888641761e+00,-5.757567297925298977e-01,-1.045333429913615664e+00,9.048522757586841436e+00,8.411546822917047306e-02,-6.493544017192882656e-01,2.961034370429146412e-01,7.878815323018357672e-03
1.000000000000000000e+00,-8.874717256867458159e-01,1.272873935645249865e+00,8.687032228470635831e-01,1.122552845850867120e+00,-8.399562095536412532e-01,3.533430320707203975e+00,-8.059743716615122011e-01,-5.561429998249628248e+00,1.423985248330351006e+00,5.821179372149982989e-02,-1.989894115210039560e+00,2.279827252945034299e+00,3.558101140129228679e-02
0.000000000000000000e+00,-6.697294765664900673e-01,7.583394237609143440e-01,8.108440408682671130e-01,8.882646950117826234e-01,-8.882403025130346519e-01,1.601987742032942919e+00,-4.311465385681996221e-01,-2.225632859452756129e+00,1.552271202290633312e+00,3.148253384786157960e-02,-6.827762715908698432e-01,2.091026448485604206e-01,7.432324303661919096e-03
0.000000000000000000e+00,-2.023716074401147869e-01,7.595555778169679195e-01,6.927959302581954137e-01,1.159001546895959800e+00,-6.051983656005274881e+00,1.152633401917862566e+00,1.184835980928937160e-01,-2.738441676179083073e-01,5.991372675597111952e-01,7.274845293146829130e-03,-1.733140126886703491e+00,8.797799588133935200e-02,1.517598435640035714e-02
0.000000000000000000e+00,-6.275187962041145484e-01,3.230020523444037561e+00,1.872371023771836507e+00,2.672410803483805886e+00,-5.845545121835870050e-01,2.382044982594196725e+00,-5.174001672630138549e-01,-4.025197941224471776e-02,9.986029844626449492e-01,8.657124698957413197e-03,-2.906573285885256097e-01,2.136427679244053690e-01,4.202500804274424476e-03
0.000000000000000000e+00,-1.255104962216282649e+00,2.207184289212658523e+00,1.542645253873524469e+00,1.795765082952640812e+00,-2.991275806508003399e+00,1.055514248957262646e+00,-9.784593470494198364e-01,-3.019919404803100837e-01,2.411541086866581196e+00,2.261277522789075997e-02,-2.882411201559728742e+00,2.195503979508060255e-01,2.584967999592112375e-02
0.000000000000000000e+00,-4.563451128137900881e-01,5.328798385688040540e+00,2.363226183473195796e+00,3.843497998339574284e+00,-2.272971299233017106e+00,5.477476921042849334e+00,-4.412737083542410677e-01,-1.582772816640043212e+00,9.868938160767949386e-01,2.141388860597365218e-02,-3.815509572354617851e-01,2.337226078016359843e+00,2.265647529376518116e-02
0.000000000000000000e+00,-1.249885634392357447e+00,6.497066375789824377e+00,6.349009670714223397e+00,3.016736056411373657e+00,-1.997226056293563090e+00,6.987235941630331126e+00,-7.696435678415965986e-01,-1.694849009805582174e+00,6.706021619678223189e+00,7.000725524569836877e-02,-7.688395862018722937e+00,1.981172851656671785e+00,8.057973928062828195e-02
