winner,head_ty_max,head_ty_min,head_rx_max,head_ry_max,chest_ty_min,chest_ty_max,hand_L_ty_min,hand_L_ty_max,hand_L_y_vel_max,hand_R_ty_min,hand_R_ty_max,hand_R_y_vel_max
1.000000000000000000e+00,-9.596611869393675276e-01,6.057721979102913545e-01,3.318758501952260520e+00,2.641432153557539131e+00,-8.859961041233958001e-01,7.385168153562986504e-01,-5.233111981776789046e-01,1.263442611859767917e+00,1.209487084910464638e+00,-1.698958337508667205e+00,1.681833082741476471e+00,-1.273195639026131198e+00
0.000000000000000000e+00,-9.042723080260688384e-01,5.539453047792004536e-01,1.516933340818102272e+00,8.892274632588926808e-01,-8.227211286495517140e-01,2.715498567367340410e-01,-7.886054017270316407e-01,8.203097793779923208e-01,8.988976246077469145e-01,-8.686161383790673707e-01,2.015685307412716121e+00,1.193700918350962592e+00
0.000000000000000000e+00,-1.757783467872233052e+00,3.204834490326309737e+00,1.679421376990507753e+00,4.441658937343496150e-01,-2.042193277869783774e+00,2.424028632055390542e+00,-1.033891318832658834e+00,1.911176308943512092e+00,1.345257600064317050e+00,-1.820696629557113866e+00,5.053074895644812159e+00,2.450383161294812151e+00
0.000000000000000000e+00,-7.863112122053598219e-01,9.584087903486461224e-01,1.662724732091717117e+00,3.071666588229193806e+00,-8.497643102802562298e-01,1.082541828557442631e+00,-1.052117747718088470e-01,8.602571992016979641e-01,4.893270790638334922e-01,-4.166739300961639914e-01,5.456693018493131930e+00,2.004060628112778186e+00
0.000000000000000000e+00,-1.361393816742453522e+00,3.036564371495487635e-01,1.643239700830040340e+00,3.930430481989384828e-01,-1.294847197979204667e+00,3.971050771880444419e-01,-9.077330795394440432e-01,3.865587125443690764e-01,-8.988284715440012507e-01,-4.436586114461247288e-01,5.377491591307641539e-01,5.988986323329734685e-01
1.000000000000000000e+00,-8.921615563665643567e-01,3.226536946546484375e-01,3.575343077499207656e+00,7.940079312992253113e-01,-7.210731597894793898e-01,4.966961456996403790e-01,-7.093559906745793286e-01,6.180140169008770945e-01,-6.544184932458183557e-01,-3.985731998168261514e-01,1.230620536145929700e+00,1.046974913781110184e+00
0.000000000000000000e+00,-3.066694509973384442e+00,-3.084114530927768438e-01,2.239728375877798605e+00,8.305517348444032555e-01,-3.266976276350413322e+00,-2.109450135298835405e-01,-4.857149825213235572e-01,4.305861631290648361e-01,-4.240696379092399049e-01,-6.641444518501673500e-01,2.052590827494280123e+00,8.881518864998190210e-01
0.000000000000000000e+00,-5.496766234075013413e-01,5.323359243671592633e-01,9.178759832733124346e-01,3.142309373302279329e+00,-4.150333636793510084e-01,5.178383837076915297e-01,-1.181901926269481429e+00,1.905206094440142328e+00,1.813008923239524561e+00,-3.065462196342516599e-01,7.482757575565006647e-01,6.604334346333817773e-01
0.000000000000000000e+00,-4.705411726128292949e-01,8.647285642766369129e-01,1.543264288299071474e+00,3.022830955310093159e+00,-6.082133980463558798e-01,7.071406551226649961e-01,-4.152941126070588407e-01,1.215796150939052689e+00,6.013089402892011215e-01,-1.219967442464631402e+00,3.895588238934760028e+00,2.199213126775088512e+00
0.000000000000000000e+00,-2.741307108768899159e+00,4.681608138577486034e-01,2.023256367024617752e+00,1.056086096861998724e+00,-3.329020483582964207e+00,4.604474920175795627e-01,-2.071433907328165402e-01,1.522443886608271457e+00,6.553405340957596525e-01,-1.019604903332950396e+00,7.548991506447124245e+00,3.287804358899994561e+00
