winner,head_ty_max,head_ty_min,head_rx_max,head_ry_max,chest_ty_min,chest_ty_max,hand_L_ty_min,hand_L_ty_max,hand_L_y_vel_max,hand_R_ty_min,hand_R_ty_max,hand_R_y_vel_max
1.000000000000000000e+00,-7.591674727725066241e-01,3.018762680533944587e-01,1.381991711017469981e+00,1.182280859571795295e+00,-8.838096776311616942e-01,3.529761224095164240e-01,-1.786252990381118400e+00,5.293208743014098383e-01,1.110597458121743042e+00,-2.576548275151144818e-01,3.824113590489873760e-01,-3.174439467889987876e-01
1.000000000000000000e+00,-1.101362820296135858e+00,2.985318443992279747e-01,1.752501371048674761e+00,1.811649408288378726e+00,-1.266254085361903092e+00,3.650160389491915458e-01,-9.564467298379690785e-01,6.582361483866645546e-01,-5.209817119430584231e-01,-7.191884233276665261e-01,1.410566901467795953e+00,-6.291078975336487078e-01
0.000000000000000000e+00,-9.317600025615625503e-01,2.453100773964945525e+00,2.294700416330599513e+00,1.183700763389843313e+00,-1.430117041540577283e+00,2.053006179286044564e+00,-2.117218165196147694e+00,1.276381073564097690e+00,6.210436118136697381e-01,-3.131215416143834585e+00,1.308240914714213998e+00,-3.123622909607337128e+00
0.000000000000000000e+00,-5.543468604978848413e-01,3.508114417596223777e+00,2.535269598852479156e+00,2.761263070090197669e+00,-7.468594760705754565e-01,2.334928061329430538e+00,-9.634836730535693006e-01,4.902648859394863612e-01,4.337922691741553649e-01,-1.126732844732279304e+00,1.241816543769221237e+00,-9.175880471098777358e-01
0.000000000000000000e+00,-3.981217373799592618e-01,1.522540228737050416e+00,2.543606437363799877e+00,2.803046469548379438e+00,-3.476946727361454603e-01,1.161267143402114677e+00,-4.319171141860931762e+00,4.879982530996950452e+00,-5.295690711029090281e+00,-4.749076422494280969e+00,2.202462826395596540e+00,-2.186588913660557854e+00
0.000000000000000000e+00,-6.830058250118079544e-01,4.812083182364414458e-01,5.765598448222740702e-01,2.281512272511148520e+00,-6.709710507201409602e-01,5.333439258139280881e-01,-6.142491443075234203e-01,7.045197830323617350e-01,7.451913091945880918e-01,-3.051984858294346514e-01,2.809514600307574383e-01,-2.856904353970952104e-01
1.000000000000000000e+00,-1.343326804366232086e+00,1.029339085919416252e+00,1.212188583064630842e+00,2.264470836382637131e+00,-1.421695258487893021e+00,7.136809365929197568e-01,-8.212382545029901504e-01,6.632325687728090058e-01,-3.819973158582453121e-01,-5.220303879095479216e-01,2.108861533986559955e+00,4.638310074894856916e-01
0.000000000000000000e+00,-7.816663228096034643e-01,6.669050828550846965e+00,1.778102153800967811e+00,2.903389836886199671e+00,-7.852424836580411682e-01,6.800690148283225156e+00,-8.372755558955866206e+00,5.003519978559713088e+00,-5.006470437837230669e+00,-8.766100739612667780e+00,1.664357958064928145e+00,-3.852768498930640995e+00
0.000000000000000000e+00,-1.028342903846925838e+00,5.256285200095516252e+00,2.255667859966701272e+00,2.215401975999963025e+00,-1.053877347832198774e+00,5.538562017520944458e+00,-4.637073156506079208e+00,1.404133058933494382e+00,-2.363821740930411863e+00,-7.030497384819374140e+00,3.675942448906370341e+00,-4.910425724629435607e+00
1.000000000000000000e+00,-8.539768160594500834e-01,3.564868273545646726e+00,1.945527950406629403e+00,2.673945376439295085e+00,-9.709220149476087691e-01,3.493777726429163177e+00,-4.538297233600140923e-01,1.994111140941708493e+00,7.262544945249641559e-01,-1.185614679522736026e+01,5.991520939990636618e-01,-3.973811097480826948e+00
1.000000000000000000e+00,-1.896220842102104731e+00,4.492641799061733110e+00,6.741433034348358611e+00,4.631244987783659006e+00,-1.625203719896301413e+00,4.390012485624581018e+00,-2.504211901440537513e+00,2.416804491548168787e+00,1.482697284741786081e+00,-2.600185117104041765e+00,2.375962991569100957e+00,1.939334540287081854e+00
0.000000000000000000e+00,-1.192929086100251945e+00,2.130566583680936876e+00,1.464212353294530145e+00,2.839876912040714796e+00,-1.277986075647361996e+00,2.362410479517810025e+00,-4.096887645597953487e+00,5.943056784529868963e+00,3.706733676701056801e+00,-1.021447293451123883e+01,4.728904567408259041e+00,4.865124777714026294e+00
1.000000000000000000e+00,-8.288936386532309575e-01,3.339523312819542289e-01,2.900562289960910256e+00,2.428751746769941100e+00,-1.525343235655497676e+00,3.110211702731952021e-01,-2.090233681049603831e+00,5.184507994155228561e-01,-1.022721484307415718e+00,-3.257657903657925624e-01,1.096687589463245738e+00,5.239466130359146101e-01
0.000000000000000000e+00,-1.055199639251565014e+00,3.521439690371671039e-01,2.906632193616754734e+00,2.456810434702823009e+00,-1.400817858452347409e+00,3.096662947546664491e-01,-8.794934011278257913e+00,1.236238077713585737e+00,-3.264455120993181581e+00,-2.764878537515968127e+00,1.972922226388318823e+00,-1.170668000092720984e+00
1.000000000000000000e+00,-8.610203749674535390e-01,5.756122768380291799e-01,1.811184719939663568e+00,1.888286208424963197e+00,-8.962037093631777251e-01,5.848137992053868972e-01,-3.561298078632809005e+00,8.966912648307512335e-01,-2.132117513099665462e+00,-5.272913634974149666e+00,2.157307746888246669e+00,-2.271091726491897500e+00
0.000000000000000000e+00,-6.038037921109596917e-01,5.339034348993203949e+00,2.577953069997768409e+00,3.240861854259794672e+00,-6.227036103724814531e-01,5.398393986603843508e+00,-6.094940901771681574e+00,4.515987584774279640e+00,-2.976054870994468082e+00,-3.615951046550815118e+00,6.887505172147443844e+00,-3.388180804261845314e+00
0.000000000000000000e+00,-7.806528610962187864e-01,4.965269669097705396e+00,1.715535893822514923e+00,2.421187586926537350e+00,-7.628870376022868216e-01,5.215655151042004611e+00,-7.776541486618380183e+00,1.665911160615194619e+00,-3.468068786881979282e+00,-1.024955404614949472e+01,1.574594801830451640e+00,-5.292434232910670389e+00
1.000000000000000000e+00,-9.491408709460775750e-01,5.016295717611015670e-01,1.786960303562133756e+00,1.173169548761263004e+00,-9.095061235451161741e-01,6.111876828786083626e-01,-2.206380115975147271e-01,4.730443988834236446e-01,2.144074595474141642e-01,-4.541108760319477189e-01,5.333020759733043681e-01,2.701646731517860500e-01
1.000000000000000000e+00,-2.331603994171263849e+00,1.811174124708412103e+00,1.725370481518911037e+00,2.812045877463842380e+00,-2.563470412791596154e+00,2.000289204565027124e+00,-1.531855097437730961e+00,2.040852462951022073e+00,-1.510749706070100951e+00,-6.521730098934628295e+00,5.682540097734785078e+00,-2.983845465834535471e+00
1.000000000000000000e+00,-1.907419594034976962e+00,3.881169674292350269e+00,1.498915136448909058e+00,2.342271532996954786e+00,-2.007694316565178383e+00,4.061285812941044959e+00,-5.816961305703148843e-01,6.474614250348643685e-01,-5.654918080547426396e-01,-2.315807488379479917e+00,1.478194678529277661e+00,-1.110989996770469723e+00
0.000000000000000000e+00,-5.602756115211735555e-01,4.449263888973455927e-01,1.674904274712659902e+00,1.614429466864593765e+00,-4.113276331689648679e-01,5.376856859983161208e-01,-4.531813329282243230e-01,2.057233856507121761e+00,9.380874626520365744e-01,-2.352629892201443251e+00,3.854839708178068758e+00,1.581622072160719039e+00
1.000000000000000000e+00,-4.047109872724999335e-02,1.171527764306993236e+00,1.474391671184608343e+00,3.215850182298919169e+00,-6.809632576693048778e-01,1.193014340211326685e+00,-3.335353083460901313e+00,1.123668790242268578e+01,5.967137143761003237e+00,-1.545390539288407972e+00,6.529710653604047899e+00,4.818611307969125512e+00
